texto_original,texto_limpo,entidades,lemmas,noun_chunks,score_sentimento
A Elize Matsunaga estava trabalhando de Uber. Sabe por que ela chega rápido?. Porque ela sabe cortar caminho.,A Elize Matsunaga estava trabalhando de Uber. Sabe por que ela chega rápido?. Porque ela sabe cortar caminho.,"Elize Matsunaga, Uber",elize matsunaga trabalhar uber chegar rápido cortar,"A Elize Matsunaga, Uber, ela, ela, caminho",3 stars
"""Após ganhar nota 4.8 como motorista de aplicativo, Elize Matsunaga aparece em corte de vídeo agradecendo apoio"" 🤣🤣🤣🤣🤣🤣🤣🤣. ","""Após ganhar nota 4.8 como motorista de aplicativo, Elize Matsunaga aparece em corte de vídeo agradecendo apoio"" 🤣🤣🤣🤣🤣🤣🤣🤣.",Elize Matsunaga,ganhar nota 4.8 motorista aplicativo elize matsunaga aparecer corte vídeo agradecer 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,"nota, motorista, aplicativo, Elize Matsunaga, corte, vídeo, apoio, 🤣, 🤣",4 stars
"Romantizar/Vangloriar casos como o de Elize Matsunaga, realmente contribui para diminuir casos de feminicídio?. ","Romantizar/Vangloriar casos como o de Elize Matsunaga, realmente contribui para diminuir casos de feminicídio?.","Romantizar, Vangloriar, Elize Matsunaga",romantizar vangloriar caso elize matsunaga realmente contribuir diminuir caso feminicídio,"Romantizar, casos, o, Elize Matsunaga, casos, feminicídio",4 stars
Elize Matsunaga vira motorista de aplicativo - 23/02/2023 - Rede Social. ,Elize Matsunaga vira motorista de aplicativo - 23/02/2023 - Rede Social.,"Elize Matsunaga, Rede Social",elize matsunaga virar motorista aplicativo 23/02/2023 rede social,"Elize Matsunaga, motorista, aplicativo, - 23/02/2023, - Rede Social",1 star
Qual é o filme romântico favorito da Elize Matsunaga?. Um Amor Para Recortar,Qual é o filme romântico favorito da Elize Matsunaga?. Um Amor Para Recortar,Elize Matsunaga,filme romântico favorito elize matsunaga amor recortar,"Qual, é o filme romântico, Elize Matsunaga, Recortar",5 stars
"Por que a mídia brasileira trata a Suzane von Richthofen como uma celebridade?. Eu notei isso faz um bom tempo, qualquer coisa que essa mulher faz vira notícia. Sempre achei isso bizarro, nem tanto por que ela é uma criminosa, mas por que eu nunca vi nenhum outro criminoso ser tratado dessa maneira. 

Os Nardoni? Eu nunca ouço falar deles.

A Elize Matsunaga? Só ouço falar dela novamente por conta do documentário sobre o assassinato do marido dela.

O Goleiro Bruno? Aparece de anos em anos no máximo.

Enquanto isso nós últimos anos a Suzane aparece nas notícias de meses em meses, e as notícias sobre ela são sempre algo que parece que foi tirado de um tablóide. Ela ficando grávida, estudando, visitando parentes, etc. 

Eu simplesmente não consigo entender por que diabos os sites dão tanta atenção pra essa mulher.","Por que a mídia brasileira trata a Suzane von Richthofen como uma celebridade?. Eu notei isso faz um bom tempo, qualquer coisa que essa mulher faz vira notícia. Sempre achei isso bizarro, nem tanto por que ela é uma criminosa, mas por que eu nunca vi nenhum outro criminoso ser tratado dessa maneira. Os Nardoni? Eu nunca ouço falar deles. A Elize Matsunaga? Só ouço falar dela novamente por conta do documentário sobre o assassinato do marido dela. O Goleiro Bruno? Aparece de anos em anos no máximo. Enquanto isso nós últimos anos a Suzane aparece nas notícias de meses em meses, e as notícias sobre ela são sempre algo que parece que foi tirado de um tablóide. Ela ficando grávida, estudando, visitando parentes, etc. Eu simplesmente não consigo entender por que diabos os sites dão tanta atenção pra essa mulher.","Suzane von Richthofen, Nardoni, Elize Matsunaga, Goleiro Bruno, Suzane",mídia brasileiro tratar suzane von richthofen celebridade notar mulher virar notícia achar bizarro criminoso ver nenhum outro criminoso tratar maneira nardoni ouçor falar de eles elize matsunaga ouçor falar de ela novamente conta documentário assassinato marido de ela goleiro bruno aparece ano ano último ano suzane aparecer notícia notícia tirar tablóide ficar grávido estudar visitar parente etc. simplesmente consigo entender diabo site atenção pra mulher,"a mídia brasileira, a Suzane von Richthofen, uma celebridade, Eu, isso, um bom tempo, , qualquer coisa, que, essa mulher, notícia, ela, eu, maneira, Os Nardoni, Eu, deles, A Elize Matsunaga?, dela, conta, documentário, o assassinato, marido, dela, O Goleiro Bruno?, anos, anos, máximo, isso, nós, últimos anos, a Suzane, notícias, meses, meses, as notícias, ela, que, um tablóide, Ela, parentes, Eu, os sites, tanta atenção, essa mulher",1 star
"Mulheres tóxicas com homens também existem.. Não gosto do movimento Red Pill e concordo que é um movimento lotado de retardado misógino, mas isso não significa que as mulheres são ""santinhas"", pois muitas delas se assemelham com os próprios red pills no sentido inverso. Por exemplo, enquanto um homem red pill prega que uma mulher com 30 anos"" perde o valor"" ( eu discordo ), muitas mulheres impõem inúmeros padrões estéticos aos homens e podendo até mesmo ser mais exigente do que os red pills, como por exemplo em relação a altura, cabelo e tamanho do pênis ( coisas que o homem não pode escolher ). Porém geralmente apenas o homem é taxado de ""tóxico"" por ser exigente, já a mulher é vista como ""empoderada"" ou outras atribuições consideradas positivas. 

Além disso também existe as mulheres que demonizam o sexo masculino, considerando por exemplo todo homem um potencial estuprador, enquanto as mulheres não são consideradas potenciais estupradoras mesmo existindo casos de estupro praticado por mulheres. E para piorar muitas também idolatram ou tentam ""justificar"" crimes hediondos praticados por mulheres como no caso da Elize Matsunaga. Ou seja, essas mulheres se igualam aos homens misóginos, só mudando o termo ( misandria ). 

Conclusão: A feminilidade tóxica não é menos pior que a masculinidade tóxica. ","Mulheres tóxicas com homens também existem. Não gosto do movimento Red Pill e concordo que é um movimento lotado de retardado misógino, mas isso não significa que as mulheres são ""santinhas"", pois muitas delas se assemelham com os próprios red pills no sentido inverso. Por exemplo, enquanto um homem red pill prega que uma mulher com 30 anos"" perde o valor"" ( eu discordo ), muitas mulheres impõem inúmeros padrões estéticos aos homens e podendo até mesmo ser mais exigente do que os red pills, como por exemplo em relação a altura, cabelo e tamanho do pênis ( coisas que o homem não pode escolher ). Porém geralmente apenas o homem é taxado de ""tóxico"" por ser exigente, já a mulher é vista como ""empoderada"" ou outras atribuições consideradas positivas. Além disso também existe as mulheres que demonizam o sexo masculino, considerando por exemplo todo homem um potencial estuprador, enquanto as mulheres não são consideradas potenciais estupradoras mesmo existindo casos de estupro praticado por mulheres. E para piorar muitas também idolatram ou tentam ""justificar"" crimes hediondos praticados por mulheres como no caso da Elize Matsunaga. Ou seja, essas mulheres se igualam aos homens misóginos, só mudando o termo ( misandria ). Conclusão: A feminilidade tóxica não é menos pior que a masculinidade tóxica.","Red Pill, red pill, red pills, Elize Matsunaga",mulheres tóxico homem existir gostar movimento red pill concordar movimento lotar retardar misógino significar mulher santinha muito de ele assemelhar próprio red pills sentido inverso homem red pill pregar mulher 30 ano perder discordar muito mulher impõir inúmero padrão estético homem poder exigente red pills altura cabelo tamanho pênis coisa homem escolher geralmente homem taxar tóxico exigente mulher ver empoderar atribuição considerar positivo existir mulher demonizar sexo masculino considerar homem potencial estuprador mulher considerar potencial estupradora existir caso estupro praticar mulher piorar muito idolatrar tentar justificar crime hediondo praticar mulher caso elize matsunaga ser mulher igualar homem misógino mudar termo misandrio conclusão feminilidade tóxico mau masculinidade tóxico,"Mulheres tóxicas, homens, movimento, Red Pill, isso, as mulheres, muitas, delas, os próprios red pills, sentido inverso, um homem red pill, uma mulher, 30 anos, o valor, eu, , muitas mulheres, inúmeros padrões estéticos, homens, que os red pills, relação, a altura, , cabelo, tamanho, pênis, ( coisas, que, o homem, o homem, a mulher, outras atribuições, as mulheres, que, o sexo masculino, exemplo, todo homem um potencial estuprador, as mulheres, casos, estupro, mulheres, crimes hediondos, mulheres, no caso, Elize Matsunaga, essas mulheres, homens misóginos, o termo ( misandria ), Conclusão, A feminilidade tóxica, que a masculinidade tóxica",2 stars
"Conselho pro namorado da Elize Matsunaga:. &gt;!Se o relacionamento não der certo, o negócio é juntar os pedaços e seguir em frente...!&lt;","Conselho pro namorado da Elize Matsunaga:. >!Se o relacionamento não der certo, o negócio é juntar os pedaços e seguir em frente.!<",Elize Matsunaga,pro namorado elize matsunaga > relacionamento dar certo negócio juntar pedaço seguir frente <,"Conselho, namorado, Elize Matsunaga, o relacionamento, o negócio, os pedaços, frente, <",4 stars
E impressionante a quantidade de mulher defendendo essa Assassina no comentários. ,E impressionante a quantidade de mulher defendendo essa Assassina no comentários.,Assassina,impressionante quantidade mulher defender assassina comentário,"a quantidade, mulher, essa Assassina, comentários",5 stars
"Elisany da Cruz Silva, considerada a mulher mais alta do Brasil (2,07m), com seu marido Francinaldo (1,65m) ❤️. ","Elisany da Cruz Silva, considerada a mulher mais alta do Brasil (2,07m), com seu marido Francinaldo (1,65m) ❤️.","Brasil, Francinaldo","elisany cruz silva considerar mulher alto brasil 2,07 m marido francinaldo 1,65 m ❤ ️.","Elisany, Cruz Silva, a mulher mais alta, Brasil, (2,07m, , com seu marido, Francinaldo, (1,65m, ❤",5 stars
"Elize Matsunaga. Eu fiquei chocado em como pessoas foram manipuladas pela Netflix, retrataram mulher como uma vítima  de abuso do marido e tentou justificar o assassinato e se fosse diferente? Se ele matasse e fatiasse ela? Acho que nem vivo estaria! Uma pena que psicopatas ultimamente são romantizados e glorificados nesse País","Elize Matsunaga. Eu fiquei chocado em como pessoas foram manipuladas pela Netflix, retrataram mulher como uma vítima de abuso do marido e tentou justificar o assassinato e se fosse diferente? Se ele matasse e fatiasse ela? Acho que nem vivo estaria! Uma pena que psicopatas ultimamente são romantizados e glorificados nesse País","Elize Matsunaga, Netflix, País",elize matsunaga fiquei chocado pessoa manipular netflix retratar mulher vítima abuso marido tentar justificar assassinato ser diferente matar fatiasse achar vivo estar pena psicopata ultimamente romantizar glorificar país,"Elize Matsunaga., Eu, como pessoas, Netflix, mulher, uma vítima, abuso, marido, o assassinato, ele, ela, Uma pena que psicopatas, País",1 star
Porque Elize Matsunaga matou o marido?. Porque ele era bom partido.,Porque Elize Matsunaga matou o marido?. Porque ele era bom partido.,Elize Matsunaga,elize matsunaga matar marido partido,"Elize Matsunaga, o marido, ele",3 stars
"[Discussion] Has anyone watched «Elize Matsunaga: Once upon a crime»? What did you think?. [This Woman Killed Her Husband and Cut Him to Pieces](https://medium.com/chameleon/this-woman-killed-her-husband-and-cut-him-to-pieces-7e700fe3ce9)

[IMDB: Once upon a crime](https://www.imdb.com/title/tt14856998/)",[Discussion] Has anyone watched «Elize Matsunaga: Once upon a crime»? What did you think?. [This Woman Killed Her Husband and Cut Him to Pieces]( [IMDB: Once upon a crime](,"Discussion] Has anyone watched «, Elize Matsunaga, Once upon, This Woman Killed Her Husband and Cut Him to Pieces, IMDB, Once upon",discussion has anyone watched elize matsunaga once upon crime what did you think this woman killed her husband and cut him to pieces imdb once upon crime,"[Discussion, Has anyone watched, «Elize Matsunaga:, Once upon a crime»?, What did you think?., [This Woman Killed Her Husband and Cut Him to Pieces]( [IMDB: Once upon a crime]",1 star
[OC] Fanart do legista esquisitão do documentário da Elize Matsunaga. ,[OC] Fanart do legista esquisitão do documentário da Elize Matsunaga.,"OC, Fanart, Elize Matsunaga",oc fanart legista esquisitão documentário elize matsunaga,"[OC, Fanart, legista esquisitão, documentário, Elize Matsunaga",1 star
Elize Matsunaga vira motorista de aplicativo no interior de SP. ,Elize Matsunaga vira motorista de aplicativo no interior de SP.,"Elize Matsunaga, SP",elize matsunaga virar motorista aplicativo interior sp,"Elize Matsunaga, motorista, aplicativo, interior, SP",1 star
